TIPO_CONST;COLAP_TOTA;COLAP_PAR;CIMEN_AFEC;FUERA_PLOM;AGR_MUROS;AGR_MAMP;DASOBCH;OTROS;PANCARTA
tipconst_hormigo;no;no;si;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;mode;mode;mode;mode;mode;INSEGURO
tipconst_mixta;si;no;si;sev;sev;poca;poca;poca;INSEGURO
tipconst_hormigo;no;si;si;sev;sev;mode;poca;poca;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;poca;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;sev;sev;sev;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;mode;mode;mode;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;mode;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;mode;mode;mode;sev;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;mode;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_manrest;no;si;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_mixta;no;si;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;poca;sev;mode;mode;INSEGURO
tipconst_manrest;no;si;no;poca;mode;sev;mode;mode;INSEGURO
tipconst_mixta;si;no;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_manrest;no;si;si;mode;mode;sev;sev;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;mode;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;sev;sev;sev;INSEGURO
tipconst_manrest;no;si;no;poca;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;si;no;no;poca;sev;sev;sev;sev;INSEGURO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;poca;sev;sev;sev;sev;INSEGURO
tipconst_estmuro;no;si;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;poca;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_estmad;si;si;si;sev;sev;sev;sev;poca;INSEGURO
tipconst_refestruc;no;si;no;poca;mode;mode;mode;mode;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;mode;INSPECCIONADO
tipconst_estmad;no;no;si;mode;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_estmad;no;no;si;sev;sev;poca;mode;poca;INSEGURO
tipconst_estmad;no;no;si;mode;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;si;no;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_estmad;no;si;si;mode;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;sev;sev;sev;sev;poca;INSEGURO
tipconst_hormigo;no;no;si;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_manrest;no;si;si;poca;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;si;poca;poca;poca;poca;poca;INSEGURO
tipconst_hormigo;no;no;no;mode;sev;sev;mode;poca;INSEGURO
tipconst_hormigo;no;si;no;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_mixta;no;no;no;mode;sev;sev;sev;poca;INSEGURO
tipconst_metalic;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;sev;mode;sev;sev;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;si;si;sev;sev;sev;sev;sev;USO RESTRINGIDO
tipconst_refestruc;no;si;no;sev;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_manrest;no;si;si;sev;sev;sev;sev;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_mixta;no;si;si;mode;mode;sev;sev;sev;USO RESTRINGIDO
tipconst_hormigo;no;si;no;sev;mode;sev;sev;poca;INSEGURO
tipconst_manrest;no;no;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;sev;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;mode;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;sev;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;sev;sev;sev;sev;poca;INSEGURO
tipconst_manrest;no;no;no;mode;mode;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;sev;mode;sev;sev;sev;USO RESTRINGIDO
tipconst_hormigo;no;si;no;mode;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_manrest;no;si;si;sev;sev;sev;sev;sev;INSEGURO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_mixta;no;no;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;si;mode;poca;mode;mode;mode;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;mode;poca;sev;sev;poca;INSPECCIONADO
tipconst_metalic;no;si;no;mode;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_metalic;no;si;si;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;poca;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;sev;mode;poca;poca;INSEGURO
tipconst_mixta;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_mixta;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_estmad;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;mode;poca;poca;mode;INSPECCIONADO
tipconst_manrest;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;si;no;mode;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_mixta;no;si;no;mode;mode;poca;poca;mode;INSPECCIONADO
tipconst_hormigo;no;no;si;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;sev;sev;sev;sev;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;mode;mode;poca;poca;mode;INSPECCIONADO
tipconst_mixta;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;sev;sev;USO RESTRINGIDO
tipconst_hormigo;no;si;no;mode;poca;sev;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_manrest;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;mode;poca;sev;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
tipconst_mixta;no;si;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;mode;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;sev;sev;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_refestruc;no;no;no;sev;poca;mode;mode;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;mode;poca;poca;mode;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_manrest;no;no;si;mode;poca;mode;mode;mode;INSEGURO
tipconst_hormigo;no;no;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;INSPECCIONADO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_metalic;no;si;no;poca;sev;mode;poca;poca;INSEGURO
tipconst_hormigo;no;si;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_manrest;no;si;no;poca;mode;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;si;no;poca;poca;mode;mode;poca;INSPECCIONADO
tipconst_manrest;no;si;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_estmuro;no;no;no;poca;poca;mode;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;poca;poca;poca;USO RESTRINGIDO
tipconst_hormigo;no;no;no;poca;poca;mode;poca;poca;INSPECCIONADO
